time_s,num_p_n_m,num_p_e_m,num_p_d_m,num_v_n_mps,num_v_e_mps,num_v_d_mps,ana_p_n_m,ana_p_e_m,ana_p_d_m,ana_v_n_mps,ana_v_e_mps,ana_v_d_mps,abs_err_p_n_m,abs_err_p_e_m,abs_err_p_d_m,abs_err_v_n_mps,abs_err_v_e_mps,abs_err_v_d_mps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,8.6458849268233407e-05,0,0,0.017291769853646676,0,0,8.6458849268233393e-05,0,0,0.01729176985364668,0,0,1.3552527156068805e-20,0,0,3.4694469519536142e-18,0
0.02,0,0.00034583539707293357,0,0,0.034583539707293352,0,0,0.00034583539707293357,0,0,0.034583539707293359,0,0,0,0,0,6.9388939039072284e-18,0
0.029999999999999999,0,0.00077812964341410044,0,0,0.051875309560940025,0,0,0.00077812964341410055,0,0,0.051875309560940032,0,0,1.0842021724855044e-19,0,0,6.9388939039072284e-18,0
0.040000000000000001,0,0.0013833415882917341,0,0,0.069167079414586705,0,0,0.0013833415882917343,0,0,0.069167079414586718,0,0,2.1684043449710089e-19,0,0,1.3877787807814457e-17,0
0.050000000000000003,0,0.0021614712317058345,0,0,0.086458849268233384,0,0,0.0021614712317058354,0,0,0.086458849268233398,0,0,8.6736173798840355e-19,0,0,1.3877787807814457e-17,0
0.059999999999999998,0,0.0031125185736564018,0,0,0.10375061912188006,0,0,0.0031125185736564022,0,0,0.10375061912188006,0,0,4.3368086899420177e-19,0,0,0,0
0.070000000000000007,0,0.0042364836141434358,0,0,0.12104238897552674,0,0,0.0042364836141434367,0,0,0.12104238897552677,0,0,8.6736173798840355e-19,0,0,2.7755575615628914e-17,0
0.080000000000000002,0,0.0055333663531669363,0,0,0.13833415882917341,0,0,0.0055333663531669372,0,0,0.13833415882917344,0,0,8.6736173798840355e-19,0,0,2.7755575615628914e-17,0
0.089999999999999997,0,0.007003166790726904,0,0,0.15562592868282007,0,0,0.0070031667907269049,0,0,0.1556259286828201,0,0,8.6736173798840355e-19,0,0,2.7755575615628914e-17,0
0.10000000000000001,0,0.0086458849268233381,0,0,0.17291769853646674,0,0,0.0086458849268233415,0,0,0.1729176985364668,0,0,3.4694469519536142e-18,0,0,5.5511151231257827e-17,0
0.11,0,0.010461520761456239,0,0,0.19020946839011341,0,0,0.01046152076145624,0,0,0.19020946839011346,0,0,1.7347234759768071e-18,0,0,5.5511151231257827e-17,0
0.12,0,0.012450074294625607,0,0,0.20750123824376007,0,0,0.012450074294625609,0,0,0.20750123824376013,0,0,1.7347234759768071e-18,0,0,5.5511151231257827e-17,0
0.13,0,0.01461154552633144,0,0,0.22479300809740674,0,0,0.014611545526331446,0,0,0.22479300809740685,0,0,5.2041704279304213e-18,0,0,1.1102230246251565e-16,0
0.14000000000000001,0,0.01694593445657374,0,0,0.2420847779510534,0,0,0.016945934456573747,0,0,0.24208477795105354,0,0,6.9388939039072284e-18,0,0,1.3877787807814457e-16,0
0.14999999999999999,0,0.019453241085352506,0,0,0.2593765478047001,0,0,0.019453241085352513,0,0,0.25937654780470015,0,0,6.9388939039072284e-18,0,0,5.5511151231257827e-17,0
0.16,0,0.022133465412667738,0,0,0.27666831765834676,0,0,0.022133465412667749,0,0,0.27666831765834687,0,0,1.0408340855860843e-17,0,0,1.1102230246251565e-16,0
0.17000000000000001,0,0.02498660743851944,0,0,0.29396008751199343,0,0,0.024986607438519454,0,0,0.29396008751199354,0,0,1.3877787807814457e-17,0,0,1.1102230246251565e-16,0
0.17999999999999999,0,0.028012667162907609,0,0,0.31125185736564009,0,0,0.028012667162907619,0,0,0.31125185736564021,0,0,1.0408340855860843e-17,0,0,1.1102230246251565e-16,0
0.19,0,0.031211644585832244,0,0,0.32854362721928676,0,0,0.031211644585832254,0,0,0.32854362721928693,0,0,1.0408340855860843e-17,0,0,1.6653345369377348e-16,0
0.20000000000000001,0,0.034583539707293345,0,0,0.34583539707293343,0,0,0.034583539707293366,0,0,0.34583539707293359,0,0,2.0816681711721685e-17,0,0,1.6653345369377348e-16,0
0.20999999999999999,0,0.038128352527290917,0,0,0.36312716692658009,0,0,0.038128352527290924,0,0,0.36312716692658026,0,0,6.9388939039072284e-18,0,0,1.6653345369377348e-16,0
0.22,0,0.041846083045824954,0,0,0.38041893678022676,0,0,0.041846083045824961,0,0,0.38041893678022692,0,0,6.9388939039072284e-18,0,0,1.6653345369377348e-16,0
0.23000000000000001,0,0.045736731262895458,0,0,0.39771070663387342,0,0,0.045736731262895465,0,0,0.39771070663387365,0,0,6.9388939039072284e-18,0,0,2.2204460492503131e-16,0
0.23999999999999999,0,0.049800297178502428,0,0,0.41500247648752009,0,0,0.049800297178502435,0,0,0.41500247648752026,0,0,6.9388939039072284e-18,0,0,1.6653345369377348e-16,0
0.25,0,0.054036780792645865,0,0,0.43229424634116675,0,0,0.054036780792645872,0,0,0.43229424634116698,0,0,6.9388939039072284e-18,0,0,2.2204460492503131e-16,0
0.26000000000000001,0,0.058446182105325768,0,0,0.44958601619481342,0,0,0.058446182105325782,0,0,0.4495860161948137,0,0,1.3877787807814457e-17,0,0,2.7755575615628914e-16,0
0.27000000000000002,0,0.063028501116542138,0,0,0.46687778604846009,0,0,0.063028501116542152,0,0,0.46687778604846036,0,0,1.3877787807814457e-17,0,0,2.7755575615628914e-16,0
0.28000000000000003,0,0.067783737826294974,0,0,0.48416955590210675,0,0,0.067783737826294987,0,0,0.48416955590210708,0,0,1.3877787807814457e-17,0,0,3.3306690738754696e-16,0
0.28999999999999998,0,0.072711892234584269,0,0,0.50146132575575342,0,0,0.072711892234584283,0,0,0.50146132575575364,0,0,1.3877787807814457e-17,0,0,2.2204460492503131e-16,0
0.29999999999999999,0,0.077812964341410037,0,0,0.51875309560940008,0,0,0.077812964341410051,0,0,0.51875309560940031,0,0,1.3877787807814457e-17,0,0,2.2204460492503131e-16,0
0.31,0,0.083086954146772279,0,0,0.53604486546304675,0,0,0.083086954146772293,0,0,0.53604486546304708,0,0,1.3877787807814457e-17,0,0,3.3306690738754696e-16,0
0.32000000000000001,0,0.088533861650670981,0,0,0.55333663531669341,0,0,0.088533861650670995,0,0,0.55333663531669375,0,0,1.3877787807814457e-17,0,0,3.3306690738754696e-16,0
0.33000000000000002,0,0.094153686853106155,0,0,0.57062840517034008,0,0,0.094153686853106183,0,0,0.57062840517034041,0,0,2.7755575615628914e-17,0,0,3.3306690738754696e-16,0
0.34000000000000002,0,0.09994642975407779,0,0,0.58792017502398675,0,0,0.099946429754077817,0,0,0.58792017502398708,0,0,2.7755575615628914e-17,0,0,3.3306690738754696e-16,0
0.35000000000000003,0,0.1059120903535859,0,0,0.60521194487763341,0,0,0.10591209035358592,0,0,0.60521194487763386,0,0,2.7755575615628914e-17,0,0,4.4408920985006262e-16,0
0.35999999999999999,0,0.11205066865163046,0,0,0.62250371473128008,0,0,0.11205066865163048,0,0,0.62250371473128041,0,0,1.3877787807814457e-17,0,0,3.3306690738754696e-16,0
