time_s,num_p_n_m,num_p_e_m,num_p_d_m,num_v_n_mps,num_v_e_mps,num_v_d_mps,ana_p_n_m,ana_p_e_m,ana_p_d_m,ana_v_n_mps,ana_v_e_mps,ana_v_d_mps,abs_err_p_n_m,abs_err_p_e_m,abs_err_p_d_m,abs_err_v_n_mps,abs_err_v_e_mps,abs_err_v_d_mps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,4.4575681818181774e-05,0,0,0.0089151363636363543,0,0,4.4575681818181767e-05,0,0,0.0089151363636363543,0,0,6.7762635780344027e-21,0,0,0
0.02,0,0,0.0001783027272727271,0,0,0.017830272727272709,0,0,0.00017830272727272707,0,0,0.017830272727272709,0,0,2.7105054312137611e-20,0,0,0
0.029999999999999999,0,0,0.00040118113636363595,0,0,0.026745409090909063,0,0,0.0004011811363636359,0,0,0.026745409090909059,0,0,5.4210108624275222e-20,0,0,3.4694469519536142e-18
0.040000000000000001,0,0,0.00071321090909090838,0,0,0.035660545454545417,0,0,0.00071321090909090828,0,0,0.035660545454545417,0,0,1.0842021724855044e-19,0,0,0
0.050000000000000003,0,0,0.0011143920454545443,0,0,0.044575681818181771,0,0,0.0011143920454545445,0,0,0.044575681818181771,0,0,2.1684043449710089e-19,0,0,0
0.059999999999999998,0,0,0.0016047245454545438,0,0,0.053490818181818126,0,0,0.0016047245454545436,0,0,0.053490818181818119,0,0,2.1684043449710089e-19,0,0,6.9388939039072284e-18
0.070000000000000007,0,0,0.002184208409090907,0,0,0.06240595454545448,0,0,0.002184208409090907,0,0,0.06240595454545448,0,0,0,0,0,0
0.080000000000000002,0,0,0.0028528436363636335,0,0,0.071321090909090834,0,0,0.0028528436363636331,0,0,0.071321090909090834,0,0,4.3368086899420177e-19,0,0,0
0.089999999999999997,0,0,0.0036106302272727237,0,0,0.080236227272727195,0,0,0.0036106302272727229,0,0,0.080236227272727181,0,0,8.6736173798840355e-19,0,0,1.3877787807814457e-17
0.10000000000000001,0,0,0.0044575681818181771,0,0,0.089151363636363556,0,0,0.004457568181818178,0,0,0.089151363636363543,0,0,8.6736173798840355e-19,0,0,1.3877787807814457e-17
0.11,0,0,0.005393657499999995,0,0,0.098066499999999918,0,0,0.0053936574999999933,0,0,0.09806649999999989,0,0,1.7347234759768071e-18,0,0,2.7755575615628914e-17
0.12,0,0,0.0064188981818181761,0,0,0.10698163636363628,0,0,0.0064188981818181744,0,0,0.10698163636363624,0,0,1.7347234759768071e-18,0,0,4.163336342344337e-17
0.13,0,0,0.0075332902272727213,0,0,0.11589677272727264,0,0,0.0075332902272727195,0,0,0.1158967727272726,0,0,1.7347234759768071e-18,0,0,4.163336342344337e-17
0.14000000000000001,0,0,0.0087368336363636296,0,0,0.124811909090909,0,0,0.0087368336363636279,0,0,0.12481190909090896,0,0,1.7347234759768071e-18,0,0,4.163336342344337e-17
0.14999999999999999,0,0,0.010029528409090901,0,0,0.13372704545454536,0,0,0.010029528409090898,0,0,0.13372704545454531,0,0,3.4694469519536142e-18,0,0,5.5511151231257827e-17
0.16,0,0,0.011411374545454538,0,0,0.14264218181818172,0,0,0.011411374545454532,0,0,0.14264218181818167,0,0,5.2041704279304213e-18,0,0,5.5511151231257827e-17
0.17000000000000001,0,0,0.012882372045454536,0,0,0.15155731818181808,0,0,0.012882372045454534,0,0,0.15155731818181803,0,0,1.7347234759768071e-18,0,0,5.5511151231257827e-17
0.17999999999999999,0,0,0.014442520909090898,0,0,0.16047245454545445,0,0,0.014442520909090891,0,0,0.16047245454545436,0,0,6.9388939039072284e-18,0,0,8.3266726846886741e-17
0.19,0,0,0.016091821136363624,0,0,0.16938759090909081,0,0,0.016091821136363618,0,0,0.16938759090909072,0,0,6.9388939039072284e-18,0,0,8.3266726846886741e-17
0.20000000000000001,0,0,0.017830272727272715,0,0,0.17830272727272717,0,0,0.017830272727272712,0,0,0.17830272727272709,0,0,3.4694469519536142e-18,0,0,8.3266726846886741e-17
0.20999999999999999,0,0,0.01965787568181817,0,0,0.18721786363636353,0,0,0.019657875681818156,0,0,0.18721786363636342,0,0,1.3877787807814457e-17,0,0,1.1102230246251565e-16
0.22,0,0,0.021574629999999987,0,0,0.19613299999999989,0,0,0.021574629999999973,0,0,0.19613299999999978,0,0,1.3877787807814457e-17,0,0,1.1102230246251565e-16
0.23000000000000001,0,0,0.023580535681818168,0,0,0.20504813636363625,0,0,0.023580535681818157,0,0,0.20504813636363614,0,0,1.0408340855860843e-17,0,0,1.1102230246251565e-16
0.23999999999999999,0,0,0.025675592727272711,0,0,0.21396327272727261,0,0,0.025675592727272697,0,0,0.21396327272727247,0,0,1.3877787807814457e-17,0,0,1.3877787807814457e-16
0.25,0,0,0.027859801136363618,0,0,0.22287840909090897,0,0,0.027859801136363604,0,0,0.22287840909090884,0,0,1.3877787807814457e-17,0,0,1.3877787807814457e-16
0.26000000000000001,0,0,0.030133160909090888,0,0,0.23179354545454534,0,0,0.030133160909090878,0,0,0.2317935454545452,0,0,1.0408340855860843e-17,0,0,1.3877787807814457e-16
0.27000000000000002,0,0,0.032495672045454525,0,0,0.2407086818181817,0,0,0.032495672045454511,0,0,0.24070868181818156,0,0,1.3877787807814457e-17,0,0,1.3877787807814457e-16
0.28000000000000003,0,0,0.034947334545454525,0,0,0.24962381818181806,0,0,0.034947334545454511,0,0,0.24962381818181792,0,0,1.3877787807814457e-17,0,0,1.3877787807814457e-16
0.28999999999999998,0,0,0.037488148409090885,0,0,0.25853895454545439,0,0,0.037488148409090864,0,0,0.25853895454545422,0,0,2.0816681711721685e-17,0,0,1.6653345369377348e-16
0.29999999999999999,0,0,0.040118113636363611,0,0,0.26745409090909072,0,0,0.040118113636363591,0,0,0.26745409090909061,0,0,2.0816681711721685e-17,0,0,1.1102230246251565e-16
0.31,0,0,0.042837230227272698,0,0,0.27636922727272706,0,0,0.042837230227272684,0,0,0.27636922727272695,0,0,1.3877787807814457e-17,0,0,1.1102230246251565e-16
0.32000000000000001,0,0,0.04564549818181815,0,0,0.28528436363636339,0,0,0.04564549818181813,0,0,0.28528436363636334,0,0,2.0816681711721685e-17,0,0,5.5511151231257827e-17
0.33000000000000002,0,0,0.048542917499999963,0,0,0.29419949999999973,0,0,0.048542917499999949,0,0,0.29419949999999967,0,0,1.3877787807814457e-17,0,0,5.5511151231257827e-17
0.34000000000000002,0,0,0.051529488181818142,0,0,0.30311463636363606,0,0,0.051529488181818135,0,0,0.30311463636363606,0,0,6.9388939039072284e-18,0,0,0
0.35000000000000003,0,0,0.054605210227272688,0,0,0.31202977272727239,0,0,0.054605210227272674,0,0,0.31202977272727239,0,0,1.3877787807814457e-17,0,0,0
0.35999999999999999,0,0,0.057770083636363594,0,0,0.32094490909090873,0,0,0.057770083636363566,0,0,0.32094490909090873,0,0,2.7755575615628914e-17,0,0,0
0.37,0,0,0.061024108409090866,0,0,0.32986004545454506,0,0,0.061024108409090838,0,0,0.32986004545454506,0,0,2.7755575615628914e-17,0,0,0
0.38,0,0,0.064367284545454498,0,0,0.33877518181818139,0,0,0.06436728454545447,0,0,0.33877518181818145,0,0,2.7755575615628914e-17,0,0,5.5511151231257827e-17
