time_s,num_p_n_m,num_p_e_m,num_p_d_m,num_v_n_mps,num_v_e_mps,num_v_d_mps,ana_p_n_m,ana_p_e_m,ana_p_d_m,ana_v_n_mps,ana_v_e_mps,ana_v_d_mps,abs_err_p_n_m,abs_err_p_e_m,abs_err_p_d_m,abs_err_v_n_mps,abs_err_v_e_mps,abs_err_v_d_mps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0.00049033250000000007,0,0,0.098066500000000001,0,0,0.00049033249999999996,0,0,0.098066500000000001,0,0,1.0842021724855044e-19,0,0,0
0.02,0,0,0.0019613300000000003,0,0,0.196133,0,0,0.0019613299999999998,0,0,0.196133,0,0,4.3368086899420177e-19,0,0,0
0.029999999999999999,0,0,0.0044129925000000007,0,0,0.2941995,0,0,0.004412992499999999,0,0,0.29419949999999995,0,0,1.7347234759768071e-18,0,0,5.5511151231257827e-17
0.040000000000000001,0,0,0.0078453200000000011,0,0,0.392266,0,0,0.0078453199999999994,0,0,0.392266,0,0,1.7347234759768071e-18,0,0,0
0.050000000000000003,0,0,0.0122583125,0,0,0.4903325,0,0,0.0122583125,0,0,0.4903325,0,0,0,0,0,0
0.059999999999999998,0,0,0.017651969999999999,0,0,0.58839900000000001,0,0,0.017651969999999996,0,0,0.58839899999999989,0,0,3.4694469519536142e-18,0,0,1.1102230246251565e-16
0.070000000000000007,0,0,0.024026292499999997,0,0,0.68646549999999995,0,0,0.024026292500000004,0,0,0.68646550000000006,0,0,6.9388939039072284e-18,0,0,1.1102230246251565e-16
0.080000000000000002,0,0,0.031381279999999998,0,0,0.78453200000000001,0,0,0.031381279999999998,0,0,0.78453200000000001,0,0,0,0,0,0
0.089999999999999997,0,0,0.039716932499999996,0,0,0.88259850000000006,0,0,0.039716932499999996,0,0,0.88259849999999995,0,0,0,0,0,1.1102230246251565e-16
0.10000000000000001,0,0,0.04903325,0,0,0.98066500000000012,0,0,0.04903325,0,0,0.98066500000000001,0,0,0,0,0,1.1102230246251565e-16
0.11,0,0,0.059330232500000003,0,0,1.0787315000000002,0,0,0.059330232499999996,0,0,1.0787315,0,0,6.9388939039072284e-18,0,0,2.2204460492503131e-16
0.12,0,0,0.070607880000000012,0,0,1.1767980000000002,0,0,0.070607879999999984,0,0,1.1767979999999998,0,0,2.7755575615628914e-17,0,0,4.4408920985006262e-16
0.13,0,0,0.082866192500000019,0,0,1.2748645000000003,0,0,0.082866192500000005,0,0,1.2748645000000001,0,0,1.3877787807814457e-17,0,0,2.2204460492503131e-16
0.14000000000000001,0,0,0.096105170000000018,0,0,1.3729310000000003,0,0,0.096105170000000018,0,0,1.3729310000000001,0,0,0,0,0,2.2204460492503131e-16
0.14999999999999999,0,0,0.11032481250000002,0,0,1.4709975000000004,0,0,0.11032481249999999,0,0,1.4709975,0,0,2.7755575615628914e-17,0,0,4.4408920985006262e-16
